additional_characteristics,cost_feature,curve_characteristics,curve_id,curve_type,damage_states,derivation_methodology,exposed_element,geographical_application,hazard_type,intensity_metric,original_id,readily_available,sector,source,source_details,uncertainty_range,hazard_name,sheet_name,intensity_axis,intensity_unit
Unanchored components,Yes,RC,E18.4,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Medium waste water treatment plant,USA,E,Peak Ground Acceleration,WWTM,"Yes, median and dispersion factor were given for reconstruction of the curve",Waste,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored components,Yes,RC,E18.5,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Large wastewater treatment plant,USA,E,Peak Ground Acceleration,WWTL,"Yes, median and dispersion factor were given for reconstruction of the curve",Waste,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored components,Yes,RC,E18.6,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Large wastewater treatment plant,USA,E,Peak Ground Acceleration,WWTL,"Yes, median and dispersion factor were given for reconstruction of the curve",Waste,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
"Brittle pipelines: abestos cement, concrete, and cast iron pipes, welded steel pipes with gas-welded joints",Yes,RC,E19.1,V (repair rate),,E,Sewers & interceptors: buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available in HAZUS (2020)",Waste,FEMA (2020),M,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Cast iron sewer gravity pipes, liquefaction zone 1",No,RC,E19.10,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Cast iron sewer gravity pipes, liquefaction zone 2",No,RC,E19.11,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Cast iron sewer gravity pipes, liquefaction zone 3",No,RC,E19.12,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Cast iron sewer gravity pipes, liquefaction zone 4",No,RC,E19.13,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Cast iron sewer gravity pipes, non-liquefaction zone",No,RC,E19.14,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Concrete sewer gravity pipes, liquefaction zone 0",No,RC,E19.15,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
